Station_ID,Date_Time,Dry_Bulb,RH,Pressure
KAXH,01-01-2017 23:15 MST,18.8,91.02,100903.75
KAXH,01-01-2017 23:35 MST,18.7,91.59,100869.97
KAXH,01-01-2017 23:55 MST,18.5,92.74,100903.75
KAXH,01-02-2017 00:15 MST,18.4,92.73,100903.75
KAXH,01-02-2017 00:35 MST,18.2,93.9,100937.53
KAXH,01-02-2017 00:55 MST,18,94.49,100937.53
KAXH,01-02-2017 01:15 MST,17.5,95.67,100937.53
KAXH,01-02-2017 01:35 MST,17,96.88,100937.53
KAXH,01-02-2017 01:55 MST,17,96.88,100903.75
KAXH,01-02-2017 02:15 MST,16.7,97.49,100869.97
KAXH,01-02-2017 02:35 MST,16.6,98.11,100869.97
KAXH,01-02-2017 02:55 MST,16.5,98.11,100836.19
KAXH,01-02-2017 03:15 MST,16.2,98.73,100836.19
KAXH,01-02-2017 03:35 MST,16.4,98.74,100869.97
KAXH,01-02-2017 03:55 MST,16.7,98.74,100869.97
KAXH,01-02-2017 04:15 MST,17,98.12,100869.97
KAXH,01-02-2017 04:35 MST,16.8,98.11,100836.19
KAXH,01-02-2017 04:55 MST,16.8,97.49,100869.97
KAXH,01-02-2017 05:15 MST,16.7,98.74,100869.97
KAXH,01-02-2017 05:35 MST,16.9,98.12,100869.97
KAXH,01-02-2017 05:55 MST,16.7,97.49,100836.19
KAXH,01-02-2017 06:15 MST,16.2,98.73,100869.97
KAXH,01-02-2017 06:35 MST,16.5,97.49,100903.75
KAXH,01-02-2017 06:55 MST,16.5,98.11,100903.75
KAXH,01-02-2017 07:15 MST,16.4,98.11,100903.75
KAXH,01-02-2017 07:35 MST,16.3,98.73,100903.75
KAXH,01-02-2017 07:55 MST,16,98.73,100869.97
KAXH,01-02-2017 08:15 MST,16.1,99.36,100903.75
KAXH,01-02-2017 08:35 MST,16.1,99.36,100903.75
KAXH,01-02-2017 08:55 MST,16.5,98.11,100937.53
KAXH,01-02-2017 09:15 MST,16.6,99.37,100971.32
