Station_ID,Date_Time,Dry_Bulb,RH,Pressure
KMLE,01-01-2017 23:15 MST,-1.7,79.33,97761.75
KMLE,01-01-2017 23:35 MST,-1,79.44,97826.93
KMLE,01-01-2017 23:55 MST,-0.5,78.93,97826.93
KMLE,01-02-2017 00:15 MST,-0.3,79.55,97794.34
KMLE,01-02-2017 00:35 MST,0,80.19,97761.75
KMLE,01-02-2017 00:55 MST,0.4,77.9,97729.14
KMLE,01-02-2017 01:15 MST,1.2,75.19,97696.55
KMLE,01-02-2017 01:35 MST,2.2,69.47,97663.94
KMLE,01-02-2017 01:55 MST,2.7,67.04,97631.35
KMLE,01-02-2017 02:15 MST,3,64.18,97598.75
KMLE,01-02-2017 02:35 MST,3.6,61.52,97566.15
KMLE,01-02-2017 02:55 MST,3.6,60.15,97533.56
KMLE,01-02-2017 03:15 MST,3.8,58.43,97533.56
KMLE,01-02-2017 03:35 MST,3.9,53.82,97533.56
KMLE,01-02-2017 03:55 MST,4.6,52.81,97533.56
KMLE,01-02-2017 04:15 MST,4.3,52.33,97500.96
KMLE,01-02-2017 04:35 MST,4,54.25,97500.96
KMLE,01-02-2017 04:55 MST,4.1,55.11,97533.56
KMLE,01-02-2017 05:15 MST,4,55.49,97500.96
KMLE,01-02-2017 05:35 MST,4.1,53.47,97468.36
KMLE,01-02-2017 05:55 MST,4.1,52.67,97403.16
KMLE,01-02-2017 06:15 MST,4,52.64,97403.16
KMLE,01-02-2017 06:35 MST,3.8,54.2,97435.76
KMLE,01-02-2017 06:55 MST,3.7,56.25,97435.76
KMLE,01-02-2017 07:15 MST,3.5,57.92,97403.16
KMLE,01-02-2017 07:35 MST,3.5,57.05,97403.16
KMLE,01-02-2017 07:55 MST,3.6,55.8,97403.16
KMLE,01-02-2017 08:15 MST,3.6,54.97,97403.16
KMLE,01-02-2017 08:35 MST,3.7,54.17,97403.16
KMLE,01-02-2017 08:55 MST,4,51.85,97403.16
KMLE,01-02-2017 09:15 MST,3.8,52.98,97403.16
KMLE,01-02-2017 09:35 MST,3.9,52.21,97403.16
KMLE,01-02-2017 09:55 MST,3.8,52.58,97403.16
KMLE,01-02-2017 10:15 MST,4,51.85,97370.56
